code,name_en,definition_en,unit_code,topic,source_concept
FISCAL_REVENUE_ACTUAL,Federal revenue and grants (actual),"Federal government revenue and grants actually received, NPR million. Source: World Bank Nepal Fiscal Dashboard, sheet 'Federal Revenue', aggregate row (Group2 = *), Type1 = Actual; compiled by the World Bank from Ministry of Finance, FCGO and Nepal Rastra Bank records. VERIFIED against Nepal's own accounts: matches the FCGO Consolidated Financial Statement 'non-financing receipt' for FY 2018/19 (765,535.7 vs 764,767.76, 0.10%) and FY 2022/23 (913,786.1 vs 910,370.97, 0.38%). NOTE: the dashboard's revenue category rows (taxes, grants, other revenue, miscellaneous receipt) do NOT sum to this figure in any year after FY 2017/18 and are deliberately not published here; the reason is under query with the World Bank.",NPR_MILLION,economy,NepalFiscalDashboard/FederalRevenue:aggregate:Actual
FISCAL_REVENUE_BUDGET,Federal revenue and grants (budget),"Federal government revenue and grants as budgeted, NPR million. Source: World Bank Nepal Fiscal Dashboard, sheet 'Federal Revenue', aggregate row, Type1 = Budget. Budget and actual are kept as separate series and are never mixed.",NPR_MILLION,economy,NepalFiscalDashboard/FederalRevenue:aggregate:Budget
FISCAL_EXPENDITURE_ACTUAL,Federal expenditure (actual),"Federal government expenditure actually incurred on the economic classification (recurrent plus capital), NPR million. Source: World Bank Nepal Fiscal Dashboard, sheet 'Federal Expenditure', aggregate row, Type1 = Actual. Cross-checked against the FCGO Consolidated Financial Statement for FY 2018/19: recurrent 712,119.25 plus capital 232,232.33 = 944,351.58 against 957,980.1 here (1.44%); the residual reflects definitional differences in what the compiler includes. Financing is reported separately, not inside this figure.",NPR_MILLION,economy,NepalFiscalDashboard/FederalExpenditure:aggregate:Actual
FISCAL_EXPENDITURE_BUDGET,Federal expenditure (budget),"Federal government expenditure as budgeted on the economic classification, NPR million. Source: World Bank Nepal Fiscal Dashboard, sheet 'Federal Expenditure', aggregate row, Type1 = Budget.",NPR_MILLION,economy,NepalFiscalDashboard/FederalExpenditure:aggregate:Budget
FISCAL_FINANCING_ACTUAL,Federal financing (actual),"Federal government financing actually recorded — net acquisition of financial assets and net incurrence of liabilities, NPR million. Negative values are normal and indicate a financing requirement. Source: World Bank Nepal Fiscal Dashboard, sheet 'Federal Financing', aggregate row, Type1 = Actual.",NPR_MILLION,economy,NepalFiscalDashboard/FederalFinancing:aggregate:Actual
FISCAL_FINANCING_BUDGET,Federal financing (budget),"Federal government financing as budgeted, NPR million. Source: World Bank Nepal Fiscal Dashboard, sheet 'Federal Financing', aggregate row, Type1 = Budget.",NPR_MILLION,economy,NepalFiscalDashboard/FederalFinancing:aggregate:Budget
FISCAL_DEBT_STOCK,Federal debt stock,"Outstanding federal government debt at the end of the fiscal year, NPR million. Source: World Bank Nepal Fiscal Dashboard, sheet 'Federal Debt Stock', aggregate row. This sheet publishes actuals only — a Type1 = Budget query returns no rows — so there is deliberately no budget counterpart.",NPR_MILLION,economy,NepalFiscalDashboard/FederalDebtStock:aggregate:Actual
FISCAL_NET_OPERATING_BALANCE_ACTUAL,Federal net operating balance (actual),"Federal government net operating balance actually recorded, NPR million. Source: World Bank Nepal Fiscal Dashboard, sheet 'Federal Fiscal Indicators', aggregate row, Type1 = Actual.",NPR_MILLION,economy,NepalFiscalDashboard/FederalFiscalIndicators:aggregate:Actual
FISCAL_NET_OPERATING_BALANCE_BUDGET,Federal net operating balance (budget),"Federal government net operating balance as budgeted, NPR million. Source: World Bank Nepal Fiscal Dashboard, sheet 'Federal Fiscal Indicators', aggregate row, Type1 = Budget.",NPR_MILLION,economy,NepalFiscalDashboard/FederalFiscalIndicators:aggregate:Budget
FISCAL_PROV_REVENUE_ACTUAL,Provincial revenue and grants (actual),"Provincial government revenue and grants actually received, by province, NPR million. Source: World Bank Nepal Fiscal Dashboard, sheet 'Provincial Revenue', Type1 = Actual, harvested per province and per fiscal year. Each value is the source's own published figure for that province; the category components (taxes, grants, other revenue, miscellaneous receipt) are summed to the provincial total, which is verified: for FY2024 the seven provinces' tax figures sum to the published all-provinces total 84,969.36 exactly.",NPR_MILLION,economy,NepalFiscalDashboard/ProvincialRevenue:Actual
FISCAL_PROV_REVENUE_BUDGET,Provincial revenue and grants (budget),"Provincial government revenue and grants as budgeted, by province, NPR million. Source: World Bank Nepal Fiscal Dashboard, sheet 'Provincial Revenue', Type1 = Budget.",NPR_MILLION,economy,NepalFiscalDashboard/ProvincialRevenue:Budget
FISCAL_PROV_EXPENDITURE_ACTUAL,Provincial expenditure (actual),"Provincial government expenditure actually incurred (recurrent plus capital), by province, NPR million. Source: World Bank Nepal Fiscal Dashboard, sheet 'Provincial Expenditure', Type1 = Actual.",NPR_MILLION,economy,NepalFiscalDashboard/ProvincialExpenditure:Actual
FISCAL_PROV_EXPENDITURE_BUDGET,Provincial expenditure (budget),"Provincial government expenditure as budgeted, by province, NPR million. Source: World Bank Nepal Fiscal Dashboard, sheet 'Provincial Expenditure', Type1 = Budget.",NPR_MILLION,economy,NepalFiscalDashboard/ProvincialExpenditure:Budget
FISCAL_PROV_GRANTS_ACTUAL,Provincial grants received (actual),"Intergovernmental fiscal transfers actually received by each province — equalization, conditional, complementary, special and other grants — NPR million. Source: World Bank Nepal Fiscal Dashboard, sheet 'Provincial Grants', Type1 = Actual.",NPR_MILLION,economy,NepalFiscalDashboard/ProvincialGrants:Actual
FISCAL_PROV_GRANTS_BUDGET,Provincial grants received (budget),"Intergovernmental fiscal transfers budgeted for each province, NPR million. Source: World Bank Nepal Fiscal Dashboard, sheet 'Provincial Grants', Type1 = Budget.",NPR_MILLION,economy,NepalFiscalDashboard/ProvincialGrants:Budget
